W_recall,W_precision,W_f1score,W_accuracy,W_baccuracy,N_recall,N_precision,N_f1score,N_accuracy,N_baccuracy,R_recall,R_precision,R_f1score,R_accuracy,R_baccuracy
0.646063760572544,0.508937151643283,0.56936032969002,0.443657407407407,0.411112275815077,0.165112855740922,0.228135593220339,0.19157415314546,0.474074074074074,0.413237570047737,0.0424778761061947,0.527472527472527,0.0786240786240786,0.947916666666667,0.520188620515237
0.993404445892028,0.905985444824001,0.947683225230124,0.937638888888889,0.928776479840531,0.93760079394616,0.947830448959117,0.942687870283754,0.957453703703704,0.953437371638861,0.131578947368421,1,0.232558139534884,0.951111111111111,0.565789473684211
0.975461593797458,0.912858104570274,0.943122102009274,0.931851851851852,0.923642338322428,0.911122083693371,0.902985074626866,0.907035330261137,0.929953703703704,0.926188495732159,0.0500532481363152,0.824561403508772,0.0943775100401606,0.958240740740741,0.524784622228944
0.976024982371311,0.829466655252119,0.896797482413921,0.896759259259259,0.902687381959235,0.92246740220662,0.94658295594895,0.934369602763385,0.940185185185185,0.938920717440369,0.170454545454545,0.960591133004926,0.289532293986637,0.955694444444444,0.585031731076901
0.986015208460799,0.860160121997713,0.918797849812673,0.905925646348368,0.899004528884423,0.939933259176863,0.972009202453988,0.955702167766258,0.966739007359879,0.961611040118764,0.271300448430493,0.941634241245136,0.421235857267189,0.968626155878468,0.635280838872457
0.990825688073395,0.918590522478736,0.953341740226986,0.958900305470703,0.963123687410191,0.933665008291874,0.980266976204295,0.956398640996602,0.957234101638434,0.95734589700308,0.815789473684211,0.935344827586207,0.8714859437751,0.982227159122466,0.905645861279886
0.94585448392555,0.909682668836452,0.927416009954376,0.95141588006663,0.949993357665254,0.955491049830672,0.953185328185328,0.954336796327615,0.94752915047196,0.946149433710124,0.835227272727273,0.976744186046512,0.900459418070444,0.981954469739034,0.916536713286713
0.815850815850816,0.614754098360656,0.701168614357262,0.751457928353235,0.765747361252979,0.800195886385896,0.869611495476317,0.833460851823514,0.818661482921411,0.821521932929959,0.0222222222222222,0.428571428571429,0.0422535211267606,0.92446542627048,0.509910270522699
0.996512641673932,0.803232607167955,0.889494163424124,0.921133018605943,0.94120660608554,0.945007235890014,0.96980198019802,0.957244075250428,0.951402388225493,0.952542884960714,0.392105263157895,0.943037974683544,0.553903345724907,0.933351846709247,0.694655549927286
0.989102564102564,0.882723112128146,0.932889963724305,0.938350458206054,0.944330801894496,0.95418098510882,0.965797101449275,0.959953903774129,0.961399611219106,0.961187527594841,0.433898305084746,1,0.605200945626478,0.953623993335185,0.716949152542373
0.758718190386428,0.461847389558233,0.574179743223966,0.668425437378506,0.694713425901875,0.705723298783236,0.846486486486487,0.769722290489064,0.739794501527353,0.750112011186119,0.0253968253968254,1,0.0495356037151703,0.914745903915579,0.512698412698413
0.989762410662546,0.941738650983275,0.965153512902618,0.948696616749861,0.916994227444295,0.973852411388727,0.946357989836251,0.959908361970218,0.980587909040488,0.978275686663222,0,NaN,0,0.969356627842485,0.5
0.984055160525749,0.916884159807268,0.949282893369362,0.933168994795946,0.914237275866031,0.935153583617747,0.946868250539957,0.940974458038206,0.962339085182142,0.955172596568858,0.00961538461538462,0.333333333333333,0.0186915887850467,0.971240755957272,0.504525763917503
0.993715083798883,0.906369426751592,0.948034643570953,0.956690727373681,0.962986574157506,0.959349593495935,0.96664716208309,0.962984552608569,0.964741810105497,0.964515222279882,0.712053571428571,0.987616099071207,0.827496757457847,0.963076068850639,0.855392670305281
0.986547085201794,0.901111761263897,0.941896024464832,0.947236878644821,0.951851973973446,0.917264202978489,0.952462772050401,0.934532171958415,0.935295751180228,0.935421810661504,0.632743362831858,0.979452054794521,0.768817204301075,0.976117745070814,0.815927236971485
0.995647969052224,0.946666666666667,0.970539712467594,0.965593173685659,0.960763281650713,0.932116788321168,0.977046671767406,0.954053044452746,0.966143682906689,0.959430024739462,0.778350515463918,1,0.87536231884058,0.988164051747867,0.889175257731959
0.983304548071387,0.748138414367061,0.849751243781094,0.832315380344253,0.837496778057141,0.794839521711768,0.960456273764259,0.869834710743802,0.89505830094392,0.884503715152953,0.0159362549800797,1,0.0313725490196078,0.931426985008329,0.50796812749004
0.981791697013838,0.8,0.881621975147155,0.899472368786448,0.915267482259163,0.906872509960159,0.96604774535809,0.935525301823786,0.930297139683421,0.933348370485416,0.135265700483092,0.903225806451613,0.235294117647059,0.949458483754513,0.56719089384791
0.935255437531614,0.868482855800845,0.900633219678519,0.886761032472939,0.881526857757197,0.870538838348495,0.892395982783357,0.881331916400992,0.907021926172634,0.90077079911905,0.53968253968254,0.85,0.660194174757282,0.980571745767416,0.768115644302012
0.857615894039735,0.424590163934426,0.567982456140351,0.671848972792893,0.733518629512449,0.685201026518392,0.910227272727273,0.781844802342606,0.751804553026097,0.780100513259196,0.0252808988764045,0.75,0.0489130434782609,0.902831760133259,0.51217834222933
0.871033776867963,0.512033694344164,0.644941265630921,0.739794501527353,0.780981827458372,0.756593169044531,0.921052631578947,0.830761927367672,0.801999444598723,0.820066770857669,0.104377104377104,0.794871794871795,0.18452380952381,0.923910024993058,0.550977898435526
0.969548133595285,0.714182344428365,0.8225,0.881699527908914,0.908312587897139,0.910310142497904,0.978819287967553,0.943322475570033,0.927520133296307,0.935813507462944,0,NaN,0,0.946681477367398,0.5
0.97847275192813,0.883590999540793,0.928614518399356,0.917824074074074,0.911642252915396,0.891816143497758,0.944662154138463,0.917478807450551,0.93375,0.927532677427112,0.110730593607306,0.858407079646018,0.196157735085945,0.963194444444444,0.55497927093992
