W_recall,W_precision,W_f1score,W_accuracy,W_baccuracy,N_recall,N_precision,N_f1score,N_accuracy,N_baccuracy,R_recall,R_precision,R_f1score,R_accuracy,R_baccuracy
0.992429002261875,0.870875258442454,0.927687315547594,0.923998086449283,0.925178072971151,0.883074074074074,0.944913407046328,0.912947753336014,0.92983132976343,0.923151280046481,0.944143534190928,0.846948071667173,0.89290859612614,0.989676085245598,0.967997195976412
0.99724943597985,0.912530754220752,0.953011016273369,0.950895819508958,0.950957969130352,0.929828502958137,0.937304193560563,0.933551382544785,0.945448372710298,0.943113490224311,0.869309383710127,0.95249406175772,0.909002590673575,0.991327294331878,0.933517811454882
0.996732231508829,0.895646281551753,0.943489381952293,0.941390585477204,0.94238308031061,0.883585522768932,0.954384875189254,0.917621589339704,0.931920537972731,0.925919959936326,0.771806355299637,0.989068051380159,0.867034020124581,0.982879881547289,0.885570658987209
0.244631330685204,0.214147944907772,0.22837691026291,0.178340608659438,0.178729932217813,0.0375936476604908,0.0299285714285714,0.0333260424330397,0.25012725393716,0.199544355565083,0.00240752899978113,0.55,0.00479407278274134,0.929555305332326,0.501129090576025
0.997923490875058,0.910427450771119,0.952169666527138,0.947099581796577,0.944124932735383,0.945924229641236,0.94376302709636,0.944842392503862,0.957577815157174,0.955385066461811,0.740039190071848,0.954105263157895,0.83354791245172,0.986034166139411,0.86913684669209
0.989548751998033,0.870289267369559,0.926095336727942,0.920758790869833,0.920520321275728,0.847983773935164,0.976678808995882,0.907792805225872,0.922717458359038,0.91575435515029,0.880660377358491,0.719737856592136,0.792108612643191,0.984885872917952,0.934534589189449
0.995198702351987,0.868102326107873,0.927315871408491,0.925788182281138,0.929006815268294,0.925235141084651,0.87843897248822,0.901229995516657,0.921806762241323,0.922445277996615,0.773926149208741,0.979027645376549,0.864478114478114,0.985092822641626,0.886420489928277
0.926485294494731,0.926152820854587,0.92631902784187,0.911357853342586,0.907508684545206,0.889462764313777,0.854821602817021,0.871798200069228,0.908612846017426,0.904178670742403,0.820537428023033,0.756302521008403,0.78711162255466,0.985735214742848,0.905879045268188
0.992735486234052,0.860969927996612,0.922169610706286,0.915279085199302,0.914405135045613,0.902555709429687,0.88637487636004,0.894392115276651,0.92162157991389,0.917632926471165,0.824367088607595,0.943498732343354,0.879918932612734,0.989027947099582,0.910918152762453
0.997669450378714,0.899859862197828,0.946243821570012,0.945356384970665,0.947168761460973,0.914906205408415,0.954920265901413,0.934485087625751,0.942485332667582,0.939902544084493,0.705827937095282,0.992197659297789,0.824864864864865,0.98483335413806,0.852766051709774
0.913060317676833,0.822900189442031,0.865287795881791,0.856026497855498,0.855998370496112,0.816014957127456,0.836152860088365,0.825198736387156,0.863214928874005,0.854702792667898,0.733302497256546,0.868337986258118,0.765576933931232,0.980904794413657,0.864786993254476
0.0707581455635558,0.0645127674178175,0.0672285472538135,0.0715589996190702,0.071525821986525,0.0824891992230774,0.0857979566817514,0.0837176451155108,0.0647634970471897,0.0692045106360218,0.0799192949844782,0.0445743336909882,0.0811188446050776,0.00546871668485699,0.0396696486563748
