W_recall,W_precision,W_f1score,W_accuracy,W_baccuracy,N_recall,N_precision,N_f1score,N_accuracy,N_baccuracy,R_recall,R_precision,R_f1score,R_accuracy,R_baccuracy
0.933494558645707,0.886337543053961,0.909305064782097,0.944464478903714,0.941310485900449,0.950867052023121,0.953070683661645,0.951967592592593,0.940137035701406,0.936603228792002,0.800925925925926,0.982954545454545,0.88265306122449,0.983411467724486,0.899876338011848
0.819239720713732,0.657943925233645,0.729785763648929,0.739767054908486,0.749654825391831,0.757865937072503,0.811721611721612,0.783869826671383,0.796672212978369,0.795653642547917,0.137795275590551,1,0.242214532871972,0.927121464226289,0.568897637795276
0.878493317132442,0.639257294429708,0.740020470829069,0.811011904761905,0.829863280550135,0.848413631022327,0.927424534360951,0.886161399202209,0.861979166666667,0.866904584273841,0,NaN,0,0.939360119047619,0.5
0.906447534766119,0.736896197327852,0.812925170068027,0.884169884169884,0.891027460288793,0.970604861503674,0.956013363028953,0.963253856942497,0.954018954018954,0.948728356677763,0.200692041522491,0.725,0.314363143631436,0.911196911196911,0.596049145761246
0.867905056759546,0.799429657794677,0.832261256803562,0.861292962356792,0.862427104650959,0.869106263194933,0.907421013960323,0.88785046728972,0.872340425531915,0.872969553884857,0,0,0,0.965220949263502,0.493514644351464
0.982695810564663,0.852290679304897,0.912859560067682,0.915573770491803,0.921675774134791,0.956852791878173,0.965017064846416,0.960917587085811,0.962295081967213,0.962130688466908,0,0,0,0.933606557377049,0.499561403508772
0.905405405405405,0.813353566009105,0.85691446842526,0.935425685425685,0.924491693528391,0.942457231726283,0.951334379905808,0.946875,0.926406926406926,0.916068473514387,0.804780876494024,1,0.891832229580574,0.982323232323232,0.902390438247012
1,0.461538461538462,0.631578947368421,0.937639198218263,0.967058823529412,0.932467532467532,0.962466487935657,0.947229551451187,0.910913140311804,0.856858766233766,0.6,1,0.75,0.964365256124722,0.8
0.991452991452991,0.958677685950413,0.974789915966387,0.961783439490446,0.933226495726496,0.972222222222222,0.972222222222222,0.972222222222222,0.987261146496815,0.981978879706152,0,NaN,0,0.974522292993631,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.938864628820961,0.968468468468468,0.96401028277635,0.959770114942529,0.958041958041958,0.878205128205128,0.916387959866221,0.93573264781491,0.940403092842117,0.129032258064516,1,0.228571428571429,0.930591259640103,0.564516129032258
0.925925925925926,0.471698113207547,0.625,0.933184855233853,0.929787607512726,0.949152542372881,0.98989898989899,0.969097651421508,0.944320712694877,0.919020715630885,0,NaN,0,0.979955456570156,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.826086956521739,0.358490566037736,0.5,0.836206896551724,0.831703765342209,0.91304347826087,0.957264957264957,0.934631432545202,0.898706896551724,0.878396739130435,0.14,1,0.245614035087719,0.907327586206897,0.57
0.85,0.147826086956522,0.251851851851852,0.789144050104384,0.818246187363834,0.948787061994609,0.983240223463687,0.965706447187929,0.947807933194154,0.946615753219527,0.0681818181818182,1,0.127659574468085,0.828810020876827,0.534090909090909
0.481481481481481,0.240740740740741,0.320987654320988,0.832826747720365,0.672859946038754,0.980988593155893,0.945054945054945,0.962686567164179,0.939209726443769,0.876857932941583,0.0512820512820513,1,0.0975609756097561,0.887537993920973,0.525641025641026
0.919540229885057,0.671704450041982,0.776322173702086,0.859579652756625,0.878750637114099,0.857217847769029,0.814463840399003,0.835294117647059,0.803837953091684,0.793630694566662,0.311594202898551,0.988505747126437,0.473829201101928,0.941821504721291,0.655630822766203
0.881638846737481,0.76953642384106,0.821782178217822,0.916390179163902,0.903876748209505,0.957991803278688,0.894736842105263,0.925284512617516,0.899800928998009,0.875417747213732,0.440104166666667,1,0.61121157323689,0.928666224286662,0.720052083333333
0.814814814814815,0.244670991658943,0.376336421952958,0.702279686968357,0.751575667445648,0.692968111201962,0.943238731218698,0.798962997878859,0.709765226267438,0.743035779738912,0.36094674556213,0.968253968253968,0.525862068965517,0.962572303504593,0.68011236195074
0.888544891640867,0.414739884393064,0.56551724137931,0.725062344139651,0.786192820527693,0.745632722624627,0.960482985729967,0.839529863276565,0.79145885286783,0.831004514622418,0.0115606936416185,1,0.0228571428571429,0.946695760598504,0.505780346820809
0.85935085007728,0.392932862190813,0.539282250242483,0.604001667361401,0.684527023212156,0.506857855361596,0.842487046632124,0.632931101595952,0.606919549812422,0.657831443404068,0.169642857142857,1,0.290076335877863,0.961233847436432,0.584821428571429
0.952488687782805,0.697019867549669,0.804971319311663,0.903500473036897,0.921519463508628,0.881181759794477,0.959440559440559,0.918647472380315,0.885052034058657,0.888526247940326,0.684210526315789,0.8125,0.742857142857143,0.978713339640492,0.838390552905294
0.845096241979835,0.561510353227771,0.674716428832784,0.666791604197901,0.69426657374832,0.562790697674419,0.845309381237525,0.675708017550858,0.69527736131934,0.714757343678138,0,0,0,0.967391304347826,0.495393474088292
0.913838120104439,0.925925925925926,0.919842312746386,0.945364979847738,0.937832488818409,0.964076246334311,0.93727726300784,0.950487893024937,0.938647559337215,0.93140521177475,0.718446601941748,1,0.836158192090395,0.987012987012987,0.859223300970874
0.988934993084371,0.776330076004343,0.869829683698297,0.93513185813883,0.954483024492496,0.948051948051948,0.962272727272727,0.95510940672231,0.939678690512276,0.935095392412466,0.518950437317784,1,0.683301343570058,0.949984843892088,0.759475218658892
0.975975975975976,0.776273885350318,0.864745011086475,0.907966203983102,0.927296843279565,0.909003370245546,0.956918398378104,0.932345679012346,0.917320458660229,0.920144369035465,0.352941176470588,0.988235294117647,0.520123839009288,0.953228726614363,0.676308039470665
