W_recall,W_precision,W_f1score,W_accuracy,W_baccuracy,N_recall,N_precision,N_f1score,N_accuracy,N_baccuracy,R_recall,R_precision,R_f1score,R_accuracy,R_baccuracy
0.914147521160822,0.91970802919708,0.916919345057611,0.950595023440317,0.940115898298808,0.963005780346821,0.953634802518603,0.958297382801266,0.947710061305445,0.942672592953852,0.902777777777778,0.955882352941177,0.928571428571429,0.98918139199423,0.949629014035545
0.893716058960434,0.888888888888889,0.891295938104449,0.90648918469218,0.904899987522175,0.897400820793434,0.918767507002801,0.90795847750865,0.911480865224626,0.911111298277469,0.893700787401575,0.807829181494662,0.848598130841121,0.973044925124792,0.937035780832739
0.826245443499392,0.738327904451683,0.779816513761468,0.857142857142857,0.848511461696077,0.911280846063455,0.918294849023091,0.914774402831023,0.892485119047619,0.885660707007387,0.343558282208589,0.717948717948718,0.464730290456432,0.952008928571429,0.66742270546073
0.936788874841972,0.871764705882353,0.903107861060329,0.944190944190944,0.941912416041006,0.952515545505936,0.975680370584829,0.96395881006865,0.955773955773956,0.956813328308523,0.854671280276817,0.908088235294118,0.880570409982175,0.976482976482976,0.922452827638408
0.873065015479876,0.818973862536302,0.845154845154845,0.87315875613748,0.873142677231463,0.869106263194933,0.912112259970458,0.89009009009009,0.875204582651391,0.876390863757779,0,0,0,0.954582651391162,0.488075313807531
0.984517304189435,0.96690518783542,0.975631768953069,0.977868852459016,0.978473257161782,0.971235194585448,0.981196581196581,0.976190476190476,0.977049180327869,0.976873559136921,0.83125,0.875,0.852564102564103,0.981147540983607,0.911458333333333
0.891891891891892,0.838095238095238,0.864157119476268,0.94011544011544,0.922551450533102,0.944530844997408,0.964021164021164,0.954176485991097,0.936868686868687,0.931933275404991,0.952191235059761,0.948412698412698,0.950298210735587,0.990981240981241,0.973517275602074
0.916666666666667,0.458333333333333,0.611111111111111,0.937639198218263,0.927745098039216,0.932467532467532,0.986263736263736,0.958611481975968,0.930957683741648,0.927171266233766,0.9,0.972972972972973,0.935064935064935,0.988864142538975,0.948777506112469
1,0.962962962962963,0.981132075471698,0.971337579617834,0.94375,0.958333333333333,1,0.978723404255319,0.990445859872611,0.979166666666667,0,0,0,0.968152866242038,0.496732026143791
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.959821428571429,0.979498861047836,0.976863753213368,0.974137931034483,0.937062937062937,1,0.967509025270758,0.976863753213368,0.968531468531469,1,1,1,1,1
0.925925925925926,0.568181818181818,0.704225352112676,0.953229398663697,0.940451114621731,0.953995157384988,0.994949494949495,0.974042027194067,0.953229398663697,0.949219800914716,0.888888888888889,0.888888888888889,0.888888888888889,0.99554565701559,0.943308080808081
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.717391304347826,0.458333333333333,0.559322033898305,0.887931034482759,0.812044934470564,0.926630434782609,0.96875,0.947222222222222,0.918103448275862,0.906023550724638,0.6,0.75,0.666666666666667,0.935344827586207,0.78792270531401
0.55,0.275,0.366666666666667,0.920668058455115,0.743409586056645,0.935309973045822,0.977464788732394,0.955922865013774,0.933194154488518,0.930617949485874,0.909090909090909,0.952380952380952,0.930232558139535,0.974947807933194,0.949430365031388
0.481481481481481,0.481481481481481,0.481481481481481,0.914893617021277,0.717561932793721,0.984790874524715,0.948717948717949,0.966417910447761,0.945288753799392,0.886334831201751,0.743589743589744,1,0.852941176470588,0.969604863221885,0.871794871794872
0.902298850574713,0.767350928641251,0.829371368198626,0.901614377094121,0.901833221391791,0.899737532808399,0.851888667992048,0.875159560888435,0.851050868108437,0.841741045068931,0.699275362318841,0.778225806451613,0.736641221374046,0.957965275662504,0.840492353590415
0.893778452200303,0.845050215208034,0.868731563421829,0.940942269409423,0.923959289794419,0.962602459016393,0.939969984992496,0.951151607188054,0.935965494359655,0.924804054366954,0.78125,0.943396226415094,0.854700854700855,0.966157929661579,0.887202946768061
0.929012345679012,0.287213740458015,0.438775510204082,0.738006124532154,0.821676344923636,0.708912510220769,0.978555304740406,0.822190611664296,0.744811160258591,0.815916701357849,0.42603550295858,0.605042016806723,0.5,0.951003742769649,0.704533996966655
0.955108359133127,0.717441860465116,0.819389110225764,0.915211970074813,0.930130291978742,0.929271410311035,0.985094850948509,0.956369217276913,0.937967581047382,0.945471942089316,0.427745664739884,0.552238805970149,0.482084690553746,0.950436408977556,0.703988153622002
0.731066460587326,0.681556195965418,0.705443698732289,0.835348061692372,0.802462454037955,0.853491271820449,0.895356442119032,0.873922757740185,0.835348061692372,0.826116705092614,0.866071428571429,0.551136363636364,0.673611111111111,0.960817007086286,0.915764179524018
0.945701357466063,0.6875,0.796190476190476,0.898770104068117,0.91603249691485,0.865767501605652,0.97469269703543,0.917006802721088,0.884578997161779,0.901465438415034,0.873684210526316,0.67479674796748,0.761467889908257,0.975402081362346,0.926936211256224
0.945004582951421,0.77344336084021,0.850660066006601,0.86431784107946,0.87675086471604,0.801993355481728,0.955661124307205,0.872109826589595,0.867316341829085,0.876921011360812,0.682539682539683,0.597222222222222,0.637037037037037,0.981634182908546,0.83570362245986
0.932114882506527,0.900378310214376,0.915971776779987,0.941334527541424,0.939131742548424,0.92375366568915,0.964777947932619,0.943820224719101,0.93282579489476,0.935409629162181,0.922330097087379,0.708955223880597,0.80168776371308,0.978952082400358,0.952010118966225
0.976486860304288,0.8825,0.927117531188444,0.966353440436496,0.969998088537237,0.96641289744738,0.982695810564663,0.97448634003161,0.965747196120036,0.965382808948831,0.860058309037901,0.973597359735974,0.913312693498452,0.983025159139133,0.928675974546014
