W_recall,W_precision,W_f1score,W_accuracy,W_baccuracy,N_recall,N_precision,N_f1score,N_accuracy,N_baccuracy,R_recall,R_precision,R_f1score,R_accuracy,R_baccuracy
0.934703748488513,0.861761426978818,0.896751740139211,0.935809592499098,0.935491648139426,0.930057803468208,0.953199052132701,0.941486249268578,0.9278759466282,0.927157377285398,0.851851851851852,0.978723404255319,0.910891089108911,0.987017670393076,0.92514375932444
0.812257564003103,0.651524579962663,0.723066298342541,0.733111480865225,0.742958618831388,0.730506155950752,0.801801801801802,0.764495347172513,0.781031613976706,0.779705443497087,0.259842519685039,1,0.4125,0.937437603993344,0.62992125984252
0.877278250303767,0.607744107744108,0.718050721034311,0.7890625,0.81370614928057,0.812573443008226,0.924465240641711,0.864915572232645,0.839285714285714,0.84898449026679,0.0184049079754601,0.75,0.0359281437125748,0.940104166666667,0.50900443418575
0.902654867256637,0.754756871035941,0.822107081174439,0.891540891540892,0.89496203032414,0.955342001130582,0.959681998864282,0.957507082152974,0.947349947349947,0.944800630194921,0.384083044982699,0.78169014084507,0.51508120649652,0.926640926640927,0.685986834991349
0.87203302373581,0.773809523809524,0.819990295972829,0.848199672667758,0.852287698308583,0.845179451090781,0.924557351809084,0.883088235294118,0.869885433715221,0.874691387324472,0.0185185185185185,0.0188679245283019,0.0186915887850467,0.957037643207856,0.498380598171393
0.951730418943534,0.84070796460177,0.892780862879112,0.897131147540984,0.902094717668488,0.942470389170897,0.940084388185654,0.941275876637093,0.943032786885246,0.943015798718994,0.04375,0.583333333333333,0.0813953488372093,0.935245901639344,0.52077850877193
0.91722972972973,0.762640449438202,0.832822085889571,0.921356421356421,0.919853396974957,0.917573872472784,0.957792207792208,0.937251787132645,0.914502164502164,0.912523591040662,0.844621513944223,1,0.915766738660907,0.985930735930736,0.922310756972112
0.958333333333333,0.433962264150943,0.597402597402597,0.930957683741648,0.943872549019608,0.922077922077922,0.959459459459459,0.940397350993378,0.89977728285078,0.843851461038961,0.65,1,0.787878787878788,0.968819599109131,0.825
0.982905982905983,0.950413223140496,0.966386554621849,0.949044585987261,0.916452991452991,0.944444444444444,0.944444444444444,0.944444444444444,0.974522292993631,0.963957759412305,0,NaN,0,0.974522292993631,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.955555555555556,0.977272727272727,0.974293059125964,0.971264367816092,0.944055944055944,0.906040268456376,0.924657534246575,0.943444730077121,0.943572687475126,0.483870967741935,1,0.652173913043478,0.958868894601542,0.741935483870968
0.962962962962963,0.433333333333333,0.597701149425287,0.922048997772829,0.941197121291908,0.937046004842615,0.994858611825193,0.965087281795511,0.937639198218263,0.94074522464353,0,NaN,0,0.979955456570156,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.804347826086957,0.385416666666667,0.52112676056338,0.853448275862069,0.831599750364052,0.91304347826087,0.96551724137931,0.93854748603352,0.905172413793103,0.894021739130435,0.36,0.9,0.514285714285714,0.926724137931034,0.677584541062802
0.7,0.175,0.28,0.849686847599165,0.778104575163399,0.935309973045822,0.96927374301676,0.9519890260631,0.926931106471816,0.916729060596985,0.454545454545455,0.975609756097561,0.62015503875969,0.897703549060543,0.725993954894211
0.62962962962963,0.293103448275862,0.4,0.844984802431611,0.746934020112828,0.973384030418251,0.951672862453532,0.962406015037594,0.939209726443769,0.888207166724277,0.0512820512820513,1,0.0975609756097561,0.887537993920973,0.525641025641026
0.914942528735632,0.660580912863071,0.767228915662651,0.852878464818763,0.872721989606109,0.835695538057743,0.815991799077396,0.825726141078838,0.795309168443497,0.787586520843095,0.452898550724638,0.984251968503937,0.620347394540943,0.953396283886689,0.726116717996173
0.887708649468892,0.782085561497326,0.831556503198294,0.92136695421367,0.909247106050794,0.950819672131147,0.908467939304944,0.929161451814768,0.906104844061048,0.887368404803804,0.578125,0.995515695067265,0.731466227347611,0.94591904445919,0.788872385931559
0.848765432098765,0.229549248747913,0.361366622864652,0.669275263695134,0.747900880485329,0.64636140637776,0.94954954954955,0.769155923133058,0.677101054780538,0.737988005420117,0.431952662721893,0.960526315789474,0.595918367346939,0.966315073154134,0.715434815115459
0.886996904024768,0.378467635402906,0.530555555555556,0.683915211970075,0.75985286262909,0.690242863229655,0.956881275841701,0.801980198019802,0.750623441396509,0.802728864832017,0,0,0,0.945760598503741,0.499835255354201
0.865533230293663,0.369393139841689,0.517799352750809,0.565235514797832,0.659935564918521,0.438279301745636,0.828032979976443,0.573175703220546,0.563568153397249,0.627315751501749,0.294642857142857,0.970588235294118,0.452054794520548,0.966652771988328,0.647102801549129
0.968325791855204,0.660493827160494,0.785321100917431,0.889309366130558,0.918373422243391,0.856775850995504,0.963872832369942,0.907174430465828,0.870860927152318,0.883504622086621,0.705263157894737,0.817073170731707,0.757062146892655,0.979659413434248,0.848916868694768
0.766269477543538,0.514778325123153,0.615837937384899,0.609070464767616,0.63329326762402,0.517607973421927,0.845819761129207,0.642209398186315,0.674662668665667,0.697754975532975,0,0,0,0.930284857571214,0.476391554702495
0.9177545691906,0.898976982097187,0.908268733850129,0.93640841916704,0.93195158589046,0.931818181818182,0.942878338278932,0.937315634218289,0.923869234214062,0.921605293440736,0.83495145631068,0.83495145631068,0.83495145631068,0.984773846842812,0.913485117826701
0.993084370677732,0.75978835978836,0.860911270983213,0.929675659290694,0.952481626332655,0.929243170622481,0.966014897579143,0.947272312257475,0.929978781448924,0.930381435217432,0.600583090379009,1,0.750455373406193,0.958472264322522,0.800291545189504
